,scrape_id,last_scraped,source
58,20250625193454,2025-06-27,previous scrape
59,20250625193454,2025-06-26,city scrape
60,20250625193454,2025-06-26,city scrape
61,20250625193454,2025-06-26,city scrape
62,20250625193454,2025-06-26,city scrape
63,20250625193454,2025-06-27,previous scrape
64,20250625193454,2025-06-26,city scrape
65,20250625193454,2025-06-26,city scrape
66,20250625193454,2025-06-27,previous scrape
67,20250625193454,2025-06-26,city scrape
68,20250625193454,2025-06-26,city scrape
69,20250625193454,2025-06-27,previous scrape
70,20250625193454,2025-06-27,previous scrape
71,20250625193454,2025-06-26,city scrape
72,20250625193454,2025-06-27,previous scrape
73,20250625193454,2025-06-27,previous scrape
74,20250625193454,2025-06-26,city scrape
75,20250625193454,2025-06-27,city scrape
76,20250625193454,2025-06-26,city scrape
77,20250625193454,2025-06-26,city scrape
78,20250625193454,2025-06-26,city scrape
79,20250625193454,2025-06-27,previous scrape
80,20250625193454,2025-06-27,previous scrape
81,20250625193454,2025-06-27,city scrape
82,20250625193454,2025-06-27,previous scrape
83,20250625193454,2025-06-27,city scrape
84,20250625193454,2025-06-27,city scrape
85,20250625193454,2025-06-27,city scrape
86,20250625193454,2025-06-26,city scrape
87,20250625193454,2025-06-26,city scrape
88,20250625193454,2025-06-26,city scrape
89,20250625193454,2025-06-27,city scrape
90,20250625193454,2025-06-27,city scrape
91,20250625193454,2025-06-26,city scrape
92,20250625193454,2025-06-26,city scrape
93,20250625193454,2025-06-26,city scrape
94,20250625193454,2025-06-26,city scrape
95,20250625193454,2025-06-26,city scrape
96,20250625193454,2025-06-26,city scrape
97,20250625193454,2025-06-27,city scrape
98,20250625193454,2025-06-26,city scrape
99,20250625193454,2025-06-27,city scrape
100,20250625193454,2025-06-30,city scrape
101,20250625193454,2025-06-26,city scrape
102,20250625193454,2025-06-26,city scrape
103,20250625193454,2025-06-26,city scrape
104,20250625193454,2025-06-26,city scrape
105,20250625193454,2025-06-27,previous scrape
106,20250625193454,2025-06-26,city scrape
107,20250625193454,2025-06-26,city scrape
108,20250625193454,2025-06-26,city scrape
109,20250625193454,2025-06-26,city scrape
110,20250625193454,2025-06-27,city scrape
111,20250625193454,2025-06-27,previous scrape
112,20250625193454,2025-06-27,previous scrape
113,20250625193454,2025-06-26,city scrape
114,20250625193454,2025-06-26,city scrape
115,20250625193454,2025-06-26,city scrape
116,20250625193454,2025-06-26,city scrape
117,20250625193454,2025-06-27,previous scrape
118,20250625193454,2025-06-27,city scrape
119,20250625193454,2025-06-26,city scrape
120,20250625193454,2025-06-27,city scrape
121,20250625193454,2025-06-27,previous scrape
122,20250625193454,2025-06-27,previous scrape
123,20250625193454,2025-06-26,city scrape
124,20250625193454,2025-06-26,city scrape
125,20250625193454,2025-06-27,city scrape
126,20250625193454,2025-06-26,city scrape
127,20250625193454,2025-06-27,city scrape
128,20250625193454,2025-06-26,city scrape
129,20250625193454,2025-06-27,previous scrape
130,20250625193454,2025-06-27,city scrape
131,20250625193454,2025-06-27,city scrape
132,20250625193454,2025-06-27,city scrape
