,host_name,host_since,neighbourhood,property_type,room_type,price
48,Maria,2013-12-06,,Entire rental unit,Entire home/apt,$215.00
49,Jimmy,2012-04-24,Neighborhood highlights,Entire rental unit,Entire home/apt,$289.00
50,We Are Kai And Nina,2013-03-05,Neighborhood highlights,Entire rental unit,Entire home/apt,$376.00
51,Christopher,2012-10-11,Neighborhood highlights,Entire rental unit,Entire home/apt,$291.00
52,Johnny,2014-05-14,Neighborhood highlights,Entire townhouse,Entire home/apt,$185.00
53,Nanette,2013-10-06,,Private room in rental unit,Private room,$130.00
54,Nanette,2013-10-06,Neighborhood highlights,Private room in rental unit,Private room,$128.00
55,Bruce,2013-11-29,Neighborhood highlights,Entire rental unit,Entire home/apt,$94.00
56,Robert,2012-10-31,Neighborhood highlights,Private room in rental unit,Private room,$113.00
57,Churchill,2013-10-14,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
58,Churchill,2013-10-14,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
59,Juan Carlos,2013-06-09,Neighborhood highlights,Entire home,Entire home/apt,$156.00
60,Philip,2014-01-13,Neighborhood highlights,Entire condo,Entire home/apt,$508.00
61,Lisan,2013-06-10,Neighborhood highlights,Entire home,Entire home/apt,$151.00
62,Gustavo,2014-07-29,Neighborhood highlights,Private room in rental unit,Private room,$103.00
63,Bryan & Marisa,2011-02-22,Neighborhood highlights,Private room in rental unit,Private room,
64,Victor,2011-02-22,Neighborhood highlights,Entire rental unit,Entire home/apt,$150.00
65,Louisa,2010-02-14,Neighborhood highlights,Entire condo,Entire home/apt,$177.00
66,Catherine,2014-09-28,Neighborhood highlights,Entire condo,Entire home/apt,
67,Malgorzata A,2013-12-04,,Private room in townhouse,Private room,$119.00
68,Ling Yi,2014-09-22,Neighborhood highlights,Entire rental unit,Entire home/apt,$391.00
69,Churchill,2013-10-14,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
70,Churchill,2013-10-14,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
71,Ling Yi,2014-09-22,Neighborhood highlights,Entire rental unit,Entire home/apt,$354.00
72,Churchill,2013-10-14,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
73,Katherine Donovan,2013-01-20,Neighborhood highlights,Entire rental unit,Entire home/apt,
74,Peter,2011-06-26,Neighborhood highlights,Entire condo,Entire home/apt,$252.00
75,Suz,2013-12-20,Neighborhood highlights,Entire rental unit,Entire home/apt,$165.00
76,Ling Yi,2014-09-22,Neighborhood highlights,Entire rental unit,Entire home/apt,$300.00
77,Laurie,2014-11-29,Neighborhood highlights,Entire home,Entire home/apt,$180.00
78,,,Neighborhood highlights,Entire condo,Entire home/apt,$215.00
79,Anshul,2014-12-25,Neighborhood highlights,Private room in rental unit,Private room,
80,Nora,2014-12-30,,Entire rental unit,Entire home/apt,
81,Ling Yi,2014-09-22,Neighborhood highlights,Entire rental unit,Entire home/apt,$303.00
82,,,Neighborhood highlights,Entire rental unit,Entire home/apt,
83,Ari,2010-03-02,Neighborhood highlights,Entire rental unit,Entire home/apt,$438.00
84,Rosalind,2015-01-13,Neighborhood highlights,Private room in home,Private room,$59.00
85,Michelle,2015-01-25,Neighborhood highlights,Private room in rental unit,Private room,$72.00
86,Ari,2010-03-02,Neighborhood highlights,Entire rental unit,Entire home/apt,$320.00
87,Sarah,2014-08-09,Neighborhood highlights,Entire home,Entire home/apt,$456.00
88,Ling Yi,2014-09-22,Neighborhood highlights,Entire rental unit,Entire home/apt,$314.00
89,James,2015-03-26,Neighborhood highlights,Entire guest suite,Entire home/apt,$200.00
90,Thomas,2014-02-25,Neighborhood highlights,Entire rental unit,Entire home/apt,$76.00
91,Miriam Dale,2011-10-07,Neighborhood highlights,Entire rental unit,Entire home/apt,$315.00
92,Steve,2013-09-14,Neighborhood highlights,Entire home,Entire home/apt,$269.00
93,Jurek,2014-09-24,Neighborhood highlights,Entire home,Entire home/apt,$194.00
94,Jurek,2014-09-24,Neighborhood highlights,Private room in home,Private room,$85.00
95,Jennifer,2015-05-03,Neighborhood highlights,Entire rental unit,Entire home/apt,$284.00
96,Kimberly,2015-05-11,Neighborhood highlights,Entire rental unit,Entire home/apt,$481.00
97,David,2014-12-29,Neighborhood highlights,Entire rental unit,Entire home/apt,$151.00
98,Andrew,2014-10-06,Neighborhood highlights,Entire rental unit,Entire home/apt,$150.00
99,Mary,2015-05-20,Neighborhood highlights,Entire home,Entire home/apt,$764.00
100,John,2013-05-17,,Private room in rental unit,Private room,$72.00
101,Zazy & Georges,2015-04-06,Neighborhood highlights,Entire guest suite,Entire home/apt,$388.00
102,Amanda,2014-12-19,Neighborhood highlights,Private room in condo,Private room,$129.00
103,Connie,2015-06-15,Neighborhood highlights,Private room in home,Private room,$100.00
104,Connie,2015-06-15,Neighborhood highlights,Private room in home,Private room,$100.00
105,,,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
106,Jurek,2014-09-24,Neighborhood highlights,Private room in rental unit,Private room,$86.00
107,Reem,2012-09-25,Neighborhood highlights,Private room in rental unit,Private room,$249.00
108,Purnima,2015-06-02,Neighborhood highlights,Private room in rental unit,Private room,$104.00
109,Priscilla Dade,2010-03-08,Neighborhood highlights,Private room in home,Private room,$113.00
110,Laurie,2013-01-21,Neighborhood highlights,Entire home,Entire home/apt,$920.00
111,Coni,2015-01-31,,Private room in rental unit,Private room,
112,Coni,2015-01-31,,Private room in rental unit,Private room,
113,Case,2012-08-28,Neighborhood highlights,Entire rental unit,Entire home/apt,$150.00
114,Thomas,2014-02-25,,Private room in home,Private room,$60.00
115,Dawn,2015-08-04,Neighborhood highlights,Entire guest suite,Entire home/apt,$135.00
116,Dawn,2015-08-04,Neighborhood highlights,Entire guest suite,Entire home/apt,$122.00
117,Dawn,2015-08-04,Neighborhood highlights,Entire guest suite,Entire home/apt,
118,Dawn,2015-08-04,Neighborhood highlights,Entire home,Entire home/apt,$143.00
119,Dawn,2015-08-04,Neighborhood highlights,Entire guest suite,Entire home/apt,$129.00
120,Mike,2013-12-26,Neighborhood highlights,Tiny home,Entire home/apt,$151.00
121,Ling Yi,2014-09-22,Neighborhood highlights,Entire rental unit,Entire home/apt,
122,,,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
123,Gina,2014-06-17,Neighborhood highlights,Entire condo,Entire home/apt,$105.00
124,Gema,2015-08-30,Neighborhood highlights,Private room in rental unit,Private room,$119.00
125,Ling Yi,2014-09-22,Neighborhood highlights,Entire rental unit,Entire home/apt,$324.00
126,Ruma,2015-09-09,Neighborhood highlights,Private room in home,Private room,$119.00
127,Intisar,2011-07-29,,Private room in home,Private room,$165.00
128,Sharon,2014-10-01,Neighborhood highlights,Entire rental unit,Entire home/apt,$399.00
129,Hilary,2015-05-13,Neighborhood highlights,Private room in rental unit,Private room,
130,Jonah,2015-09-14,,Private room in rental unit,Private room,$86.00
131,Maxine,2015-10-26,Neighborhood highlights,Private room in rental unit,Private room,$86.00
132,Mary Ann,2014-09-08,Neighborhood highlights,Entire rental unit,Entire home/apt,$180.00
133,Shahzad,2015-08-26,Neighborhood highlights,Entire home,Entire home/apt,$475.00
134,Joan,2012-04-17,Neighborhood highlights,Private room in bed and breakfast,Private room,$108.00
135,Amy,2015-12-03,Neighborhood highlights,Private room in home,Private room,$98.00
136,,,Neighborhood highlights,Private room in home,Private room,
137,Riverside,2015-12-11,,Private room in rental unit,Private room,
138,Riverside,2015-12-11,,Private room in rental unit,Private room,
139,Leila,2013-05-12,Neighborhood highlights,Entire rental unit,Entire home/apt,
140,,,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
141,,,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
142,,,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
143,Riverside,2015-12-11,Neighborhood highlights,Private room in rental unit,Private room,
144,Riverside,2015-12-11,,Private room in rental unit,Private room,
145,Riverside,2015-12-11,Neighborhood highlights,Private room in rental unit,Private room,
146,Amy,2015-12-16,Neighborhood highlights,Entire condo,Entire home/apt,$384.00
147,Amy,2015-12-16,Neighborhood highlights,Entire rental unit,Entire home/apt,$317.00
148,Amy,2015-12-16,Neighborhood highlights,Entire rental unit,Entire home/apt,$237.00
149,Jurek,2014-09-24,Neighborhood highlights,Entire rental unit,Entire home/apt,$161.00
150,Judy,2016-03-06,Neighborhood highlights,Entire rental unit,Entire home/apt,$247.00
